년도,월,일,요일,관람객수
2023,4,24,월,3371
2023,4,25,화,1048
2023,4,26,수,3444
2023,4,27,목,7353
2023,4,28,금,5908
2023,4,29,토,13909
2023,4,30,일,17773
2023,5,1,월,18777
2023,5,2,화,3720
2023,5,3,수,4919
2023,5,4,목,6185
2023,5,5,금,1286
2023,5,6,토,941
2023,5,7,일,8043
2023,5,8,월,3305
2023,5,9,화,3769
2023,5,10,수,4410
2023,5,11,목,6468
2023,5,12,금,6220
2023,5,13,토,16168
2023,5,14,일,15901
2023,5,15,월,3859
2023,5,16,화,4721
2023,5,17,수,4850
2023,5,18,목,5966
2023,5,19,금,7478
2023,5,20,토,16102
2023,5,21,일,15214
2023,5,22,월,4135
2023,5,23,화,5286
2023,5,24,수,6226
2023,5,25,목,7652
2023,5,26,금,6831
2023,5,27,토,4392
2023,5,28,일,23283
2023,5,29,월,15771
2023,5,30,화,4358
2023,5,31,수,7039
2023,6,1,목,5057
2023,6,2,금,4943
2023,6,3,토,16661
2023,6,4,일,18113
2023,6,5,월,9332
2023,6,6,화,19754
2023,6,7,수,2314
2023,6,8,목,2180
2023,6,9,금,2712
2023,6,10,토,6621
2023,6,11,일,7252
2023,6,12,월,2158
2023,6,13,화,2238
2023,6,14,수,1942
2023,6,15,목,2030
2023,6,16,금,2162
2023,6,17,토,7570
2023,6,18,일,5725
2023,6,19,월,967
2023,6,20,화,1390
2023,6,21,수,495
2023,6,22,목,2088
2023,6,23,금,1713
2023,6,24,토,5590
2023,6,25,일,3946
2023,6,26,월,375
2023,6,27,화,15950
2023,6,28,수,1011
2023,6,29,목,131
2023,6,30,금,1794
2023,7,1,토,2821
2023,7,2,일,2872
2023,7,3,월,545
2023,7,4,화,419
2023,7,5,수,855
2023,7,6,목,795
2023,7,7,금,834
2023,7,8,토,4459
2023,7,9,일,1053
2023,7,10,월,559
2023,7,11,화,430
2023,7,12,수,923
2023,7,13,목,132
2023,7,14,금,166
2023,7,15,토,1324
2023,7,16,일,1889
2023,7,17,월,851
2023,7,18,화,392
2023,7,19,수,1244
2023,7,20,목,1042
2023,7,21,금,2577
2023,7,22,토,2173
2023,7,23,일,392
2023,7,24,월,1150
2023,7,25,화,12014
2023,7,26,수,1002
2023,7,27,목,1014
2023,7,28,금,900
2023,7,29,토,1549
2023,7,30,일,1459
2023,7,31,월,1290
2023,8,1,화,1032
2023,8,2,수,896
2023,8,3,목,757
2023,8,4,금,715
2023,8,5,토,1009
2023,8,6,일,841
